,400,200,100
count,18.0,18.0,18.0
mean,44.86277777777778,19.74833333333333,8.246111111111112
std,0.30693562374573474,4.948377333560378,4.541556015921375
min,44.35,0.0,0.0
25%,44.695,20.605,10.335
50%,44.959999999999994,20.805,10.4
75%,45.087500000000006,21.072499999999998,10.6875
max,45.22,22.08,11.13
