,400,200,100
count,31.0,31.0,31.0
mean,45.212580645161275,20.22967741935484,7.907419354838709
std,0.3770496673024704,3.786779180139738,4.754677674137989
min,44.35,0.0,0.0
25%,45.1,20.58,5.075
50%,45.27,20.89,10.4
75%,45.48,21.085,10.7
max,45.6,22.13,12.03
