,400,200,100
count,7.0,7.0,7.0
mean,44.431428571428576,20.777142857142856,10.627142857142857
std,0.09044861735235378,0.21731039902362984,0.33978985102139697
min,44.35,20.56,10.2
25%,44.364999999999995,20.61,10.415
50%,44.37,20.67,10.48
75%,44.504999999999995,20.965,10.875
max,44.56,21.06,11.13
