,400,200,100
count,4.0,4.0,4.0
mean,44.362500000000004,20.6625,10.730000000000002
std,0.009574271077561475,0.14056433876817218,0.3740766409886264
min,44.35,20.56,10.35
25%,44.3575,20.59,10.4475
50%,44.364999999999995,20.61,10.72
75%,44.37,20.6825,11.002500000000001
max,44.37,20.87,11.13
